Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
7/1/2022,-0.017216962,0.47,0.1,0.002525368,0.21,0.06,-0.00099103,0.19,0.75,-0.003550753,0.11,0.2,-0.008140523,975.424754,971.5472783,-0.003023597
7/2/2022,0.00208076,0.47,0.1,-0.003114151,0.21,0.06,-0.002660573,0.19,0.75,-0.022468437,0.11,0.2,-0.002653051,972.8369021,965.2634175,-0.00646789
7/3/2022,0.020686118,0.47,0.1,0.003804269,0.21,0.06,0.002841506,0.19,0.75,0.02987512,0.11,0.2,0.014347521,986.7947002,975.3050733,0.010403021
7/4/2022,-0.036138755,0.47,0.1,0.049045095,0.21,0.06,-0.002223138,0.19,0.75,-0.009235698,0.11,0.2,-0.008124068,978.7779132,971.2227753,-0.004185663
7/5/2022,0.029679164,0.47,0.1,-0.035453638,0.21,0.06,0.000339046,0.19,0.75,-0.021952851,0.11,0.2,0.004153548,982.8433146,968.0220258,-0.003295587
7/6/2022,-0.005248662,0.47,0.1,0.000296379,0.21,0.06,-0.000274904,0.19,0.75,0.030703553,0.11,0.2,0.000920527,983.7480488,973.2759163,0.005427449
7/7/2022,0.004611248,0.47,0.1,0.00119124,0.21,0.06,-0.000104923,0.19,0.75,0.007571128,0.11,0.2,0.003230336,986.9258852,975.191452,0.001968132
7/8/2022,0.001191703,0.47,0.1,0.002244825,0.21,0.06,0.000937127,0.19,0.75,-0.006332668,0.11,0.2,0.000512974,987.4321526,974.8893097,-0.000309829
7/9/2022,0.004589887,0.47,0.1,-0.018940082,0.21,0.06,-0.00396048,0.19,0.75,-0.013933487,0.11,0.2,-0.004105345,983.3784029,968.6164101,-0.006434474
7/10/2022,-0.031821905,0.47,0.1,0.005571374,0.21,0.06,-0.000386723,0.19,0.75,-0.003280105,0.11,0.2,-0.014220596,969.3941763,964.9415072,-0.003793971
7/11/2022,0.004179242,0.47,0.1,-0.013477886,0.21,0.06,0.000418473,0.19,0.75,0.020133659,0.11,0.2,0.0014281,970.7785682,968.7528693,0.003949837
7/12/2022,-0.031104758,0.47,0.1,-0.04358212,0.21,0.06,-0.000496231,0.19,0.75,-0.030416988,0.11,0.2,-0.027211634,944.3620972,956.9525159,-0.012180974
7/13/2022,0.025245826,0.47,0.1,0.028451933,0.21,0.06,-0.001404581,0.19,0.75,0.012515852,0.11,0.2,0.018950317,962.2580586,962.3893776,0.005681433
7/14/2022,-0.016878298,0.47,0.1,-0.04393018,0.21,0.06,-0.000440868,0.19,0.75,-0.014936118,0.11,0.2,-0.018884876,944.0859347,955.0352643,-0.007641515
7/15/2022,0.030152443,0.47,0.1,0.046704857,0.21,0.06,-0.000304823,0.19,0.75,-0.007830219,0.11,0.2,0.023060428,965.8569601,958.8772513,0.004022874
7/16/2022,-0.05368209,0.47,0.1,-0.035341838,0.21,0.06,-0.003150261,0.19,0.75,0.014184625,0.11,0.2,-0.031690609,935.2483645,952.1512161,-0.00701449
7/17/2022,-0.003003422,0.47,0.1,0.045810192,0.21,0.06,-0.000665927,0.19,0.75,-0.000741161,0.11,0.2,0.008000478,942.7307985,953.8656516,0.001800592
7/18/2022,-0.004660434,0.47,0.1,-0.033665538,0.21,0.06,-0.002402707,0.19,0.75,-0.032379791,0.11,0.2,-0.013278458,930.2127871,943.5982763,-0.010763964
